2024-04-10 14:02:54 status half-installed gcc-13-base:amd64 13.2.0-4ubuntu3
2024-04-10 14:02:54 status unpacked gcc-13-base:amd64 13.2.0-4ubuntu3
2024-04-10 14:02:54 install grep:amd64 <none> 3.11-2
2024-04-10 14:02:54 status half-installed grep:amd64 3.11-2
2024-04-10 14:02:54 status unpacked grep:amd64 3.11-2
2024-04-10 14:02:54 install gzip:amd64 <none> 1.12-1ubuntu1
2024-04-10 14:02:54 status half-installed gzip:amd64 1.12-1ubuntu1
2024-04-10 14:02:54 status unpacked gzip:amd64 1.12-1ubuntu1
2024-04-10 14:02:54 install hostname:amd64 <none> 3.23+nmu1ubuntu1
2024-04-10 14:02:54 status half-installed hostname:amd64 3.23+nmu1ubuntu1
2024-04-10 14:02:54 status unpacked hostname:amd64 3.23+nmu1ubuntu1
2024-04-10 14:02:54 install init-system-helpers:all <none> 1.65.2ubuntu1
2024-04-10 14:02:54 status half-installed init-system-helpers:all 1.65.2ubuntu1
2024-04-10 14:02:54 status unpacked init-system-helpers:all 1.65.2ubuntu1
2024-04-10 14:02:55 install libacl1:amd64 <none> 2.3.1-3
2024-04-10 14:02:55 status half-installed libacl1:amd64 2.3.1-3
2024-04-10 14:02:55 status unpacked libacl1:amd64 2.3.1-3
2024-04-10 14:02:55 install libattr1:amd64 <none> 1:2.5.1-4
2024-04-10 14:02:55 status half-installed libattr1:amd64 1:2.5.1-4
2024-04-10 14:02:55 status unpacked libattr1:amd64 1:2.5.1-4
2024-04-10 14:02:55 install libaudit-common:all <none> 1:3.1.1-1
2024-04-10 14:02:55 status half-installed libaudit-common:all 1:3.1.1-1
2024-04-10 14:02:55 status unpacked libaudit-common:all 1:3.1.1-1
2024-04-10 14:02:55 install libaudit1:amd64 <none> 1:3.1.1-1
2024-04-10 14:02:55 status half-installed libaudit1:amd64 1:3.1.1-1
2024-04-10 14:02:55 status unpacked libaudit1:amd64 1:3.1.1-1
2024-04-10 14:02:55 install libblkid1:amd64 <none> 2.39.1-4ubuntu2
2024-04-10 14:02:55 status half-installed libblkid1:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:55 status unpacked libblkid1:amd64 2.39.1-4ubuntu2
2024-04-10 14:02:55 install libbz2-1.0:amd64 <none> 1.0.8-5build1
2024-04-10 14:02:55 status half-installed libbz2-1.0:amd64 1.0.8-5build1
2024-04-10 14:02:55 status unpacked libbz2-1.0:amd64 1.0.8-5build1
2024-04-10 14:02:55 install libc-bin:amd64 <none> 2.38-1ubuntu6
2024-04-10 14:02:55 status half-installed libc-bin:amd64 2.38-1ubuntu6
2024-04-10 14:02:55 status unpacked libc-bin:amd64 2.38-1ubuntu6
2024-04-10 14:02:55 upgrade libc6:amd64 2.38-1ubuntu6 2.38-1ubuntu6
2024-04-10 14:02:55 status half-configured libc6:amd64 2.38-1ubuntu6
2024-04-10 14:02:55 status unpacked libc6:amd64 2.38-1ubuntu6
2024-04-10 14:02:55 status half-installed libc6:amd64 2.38-1ubuntu6
2024-04-10 14:02:55 status unpacked libc6:amd64 2.38-1ubuntu6
2024-04-10 14:02:55 install libcap-ng0:amd64 <none> 0.8.3-1build2
2024-04-10 14:02:55 status half-installed libcap-ng0:amd64 0.8.3-1build2
2024-04-10 14:02:55 status unpacked libcap-ng0:amd64 0.8.3-1build2
2024-04-10 14:02:55 install libcap2:amd64 <none> 1:2.66-4ubuntu1
2024-04-10 14:02:55 status half-installed libcap2:amd64 1:2.66-4ubuntu1
2024-04-10 14:02:55 status unpacked libcap2:amd64 1:2.66-4ubuntu1
2024-04-10 14:02:55 install libcom-err2:amd64 <none> 1.47.0-2ubuntu1
2024-04-10 14:02:55 status half-installed libcom-err2:amd64 1.47.0-2ubuntu1
2024-04-10 14:02:55 status unpacked libcom-err2:amd64 1.47.0-2ubuntu1
